2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k
6,Vscy Vsful,&,"m-fu- J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,Lo.kZ
6,Vscy Vsful,&,"m-fu- J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,Vhe pSfEi;uf'ki efgyk,Lo.kZ
6,Vscy Vsful,&,"m-fu- J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,Lo.kZ
6,Vscy Vsful,&,"m-fu- J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2025 esa m-iz- iqfyl cSMfeUVu Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k
"Ø0
la0",[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,cSMfeUVu,&,"Jherh pk: fuxe ¼vkbZih,l½",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,jktif=r efgyk flaxYl,dkaL;
2,cSMfeUVu,&,e-eq-vkj{kh fjpk ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,fefJr ;qxy vksiu,dkaL;
2,cSMfeUVu,&,e-eq-vkj{kh fjpk ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk flxYl,dkaL;
2,cSMfeUVu,&,e-eq-vkj{kh fjpk ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk ;qxy,jtr
3,cSMfeUVu,234240308,m-fu- jktu ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,fefJr ;qxy vksiu,Lo.kZ
4,cSMfeUVu,234240308,m-fu- fleju pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,fefJr ;qxy vksiu,Lo.kZ
4,cSMfeUVu,234240308,m-fu- fleju pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk flxYl,dkaL;
4,cSMfeUVu,234240308,m-fu- fleju pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk ;qxy,jtr
