vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk dk uke,"ih,uvks","ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",vk;kstu LFky,dc ls ,dc rd,"o""kZ",Li/kkZ,esMy,fooj.k
61,dq-f[k-,",FkysfVDl",e- vj{kh,,furq dqekjh,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,10000eh-,Lo.kZ,jkT;
62,dq-f[k-,",FkysfVDl",e- vj{kh,,mTtoyk,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,5000eh-,dkaL;,jkT;
63,dq-f[k-,",FkysfVDl",e- vj{kh,,mTtoyk,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,1500eh-,dkaL;,jkT;
64,dq-f[k-,",FkysfVDl",vkj{kh,,f'kokth nwcs,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,yEch dwn,dkaL;,jkT;
65,dq-f[k-,",FkysfVDl",e- vj{kh,,fu/kh,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,yEch dwn,Lo.kZ,jkT;
66,dq-f[k-,",FkysfVDl",e- vj{kh,,fu/kh,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",dkuiqj,2024-04-19T00:00:00,2024,dkuiqj,19-04-2024,19-04-2024,2024,f=dwV,jtr,jkT;
67,lkeU;,",FkysfVDl",vkj{kh,,vkyksd flag,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,iksyokYV,jtr,jkT;
68,dq-f[k-,",FkysfVDl",vkj{kh,,"vk'kh""k iky","31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,3000eh- LVs-ps-,Lo.kZ,jkT;
69,dq-f[k-,",FkysfVDl",vkj{kh,,lanhi ;kno,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,gkbZ tEi,jtr,jkT;
70,dq-f[k-,",FkysfVDl",vkj{kh,,dqekj lkuw fxfj,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,gkbZ tEi,Lo.kZ,jkT;
