vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
56,lkekU;,कुश्ती क्लस्टर,&,म.आ.दामिनी अग्रवाल,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,पॉवर लिफ्टिंग ( 47KG ),कांस्य
57,lkekU;,कुश्ती क्लस्टर,&,म.आ.नीरज,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,पॉवर लिफ्टिंग ( 63KG ),स्वर्ण
58,lkekU;,कुश्ती क्लस्टर,&,म.आ.प्रियंका शुक्ला,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,पॉवर लिफ्टिंग ( 72KG ),स्वर्ण
59,lkekU;,कुश्ती क्लस्टर,&,म.आ.पल्लवी,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,पॉवर लिफ्टिंग ( 84KG ),स्वर्ण
60,lkekU;,आर्चरी,&,आ.मनोज कुमार,"11वीं अखिल भारतीय पुलिस आर्चरी 
प्रतियोगिता-2022","देहरादून  
( उत्तराखण्ड )",14.12.22 से 18.12.22,2022,आर्चरी ( इण्डियन राउण्ड 30 मीटर ),रजत
61,lkekU;,आर्चरी,&,आ.जयदीप कुशवाहा,"11वीं अखिल भारतीय पुलिस आर्चरी 
प्रतियोगिता-2022","देहरादून  
( उत्तराखण्ड )",14.12.22 से 18.12.22,2022,आर्चरी ( इण्डियन राउण्ड 50 मीटर ),रजत
62,lkekU;,आर्चरी,&,आ.जयदीप कुशवाहा,"11वीं अखिल भारतीय पुलिस आर्चरी 
प्रतियोगिता-2022","देहरादून  
( उत्तराखण्ड )",14.12.22 से 18.12.22,2022,आर्चरी ( इण्डियन राउण्ड मेन 50+30मीटर )ओवर ऑल,रजत
63,lkekU;,आर्चरी,&,आ.जयदीप कुशवाहा,"11वीं अखिल भारतीय पुलिस आर्चरी 
प्रतियोगिता-2022","देहरादून  
( उत्तराखण्ड )",14.12.22 से 18.12.22,2022,आर्चरी ( ओलम्पिक राउण्ड ),रजत
64,lkekU;,आर्चरी,&,म.आ.अनीता पौडवाल,"11वीं अखिल भारतीय पुलिस आर्चरी 
प्रतियोगिता-2022","देहरादून  
( उत्तराखण्ड )",14.12.22 से 18.12.22,2022,आर्चरी ( रिकर्व/इण्डियन ) 60मीटर,रजत
65,lkekU;,आर्चरी,&,म.आ.अनीता पौडवाल,"11वीं अखिल भारतीय पुलिस आर्चरी 
प्रतियोगिता-2022","देहरादून  
( उत्तराखण्ड )",14.12.22 से 18.12.22,2022,आर्चरी ( रिकर्व ) ऑलओवर,कांस्य
